popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
13.857,2961,False,/j0999NYddCGcishJlxluDRQIn6k.jpg,133805,False,/8cVSUI36ORfCJ6d4TP71wIrdD7h.jpg,en,Carrie,"[18, 27]",Carrie,5.9,"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",2013-10-16
13.851,1059,False,/8u0QBGUbZcBW59VEAdmeFl9g98N.jpg,504949,False,/r0AWsZ9dBvC2No3kND9nxv3iRbb.jpg,en,The King,"[18, 36, 10752]",The King,7.1,"England, 15th century. Hal, a capricious prince who lives among the populace far from court, is forced by circumstances to reluctantly accept the throne and become Henry V.",2019-10-11
13.848,1215,False,/qM66Hv4ByAxnilr0jaqCA9uOD4Y.jpg,463821,False,/LC9g7oNJc3jZNXUU8CkwSzVK2w.jpg,en,The House with a Clock in Its Walls,"[14, 10751]",The House with a Clock in Its Walls,6.2,"When ten-year-old Lewis is suddenly orphaned, he is sent to live with his Uncle Jonathan in a creaky (and creepy) old mansion with a mysterious ticking noise that emanates from the walls. Upon discovering that his uncle is a warlock, Lewis begins learning magic, but when he rebelliously resurrects an evil warlock he must find the secret of the house and save the world from destruction.",2018-09-15
13.848,2713,False,/gRi7lTBBiRBhn9aJID5MdldcJEJ.jpg,278154,False,/o29BFNqgXOUT1yHNYusnITsH7P9.jpg,en,Ice Age: Collision Course,"[12, 16, 35, 10751]",Ice Age: Collision Course,5.9,"Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.",2016-06-23
13.721,1404,False,/mYZdcd5XeZkye72oQejkLuAGI7q.jpg,10320,False,/3UPGMO3KqxpBHkAinXr4fknjDV0.jpg,en,The Ring Two,"[18, 27, 53]",The Ring Two,5.7,Rachel Keller must prevent evil Samara from taking possession of her son's soul.,2005-03-17
13.692,1151,False,/qntguRoupnAASFdld8kTDe68fEn.jpg,361292,False,/AmO8I38bkHwKhgxPNrd6djBQyPU.jpg,en,Suspiria,"[14, 27]",Suspiria,6.9,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the troupe's artistic director, an ambitious young dancer and a grieving psychotherapist. Some will succumb to the nightmare, others will finally wake up.",2018-10-11
13.656,3559,False,/9M5ibpQUjoVFjjnP2AdLcof4hAk.jpg,302699,False,/zaGmoSackrRF7w6NieQ0FWY0M7k.jpg,en,Central Intelligence,"[28, 35, 9648]",Central Intelligence,6.3,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",2016-06-15
13.513,1186,False,/uvlUQXg0AlpGzKukO11K7QtW3Yu.jpg,437557,False,/g3LYarEY9LjB28Ct2trwFN72gqZ.jpg,en,Blockers,[35],Blockers,6.2,"When three parents discover their daughters’ pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal.",2018-03-14
13.439,2869,False,/7D6hM7IR0TbQmNvSZVtEiPM3H5h.jpg,296524,False,/1R2wRq5aZJHMmg3gUlqw2uSdj2t.jpg,en,Deepwater Horizon,"[28, 18]",Deepwater Horizon,6.7,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.",2016-09-29
13.334,1952,False,/dJe4s2h9hac0Fu3pQVV4OuWe8kU.jpg,384521,False,/lX4jScWnurasu6Kxuqo9819mjM2.jpg,en,The Cloverfield Paradox,"[27, 9648, 878, 53]",The Cloverfield Paradox,5.6,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",2018-02-04
13.289,1155,False,/b3jWxwWRFqvNDJTvBcmKJVHnzKK.jpg,505948,False,/kmPnDn9mbjD9Vzn1FTclNiSHGNa.jpg,en,I Am Mother,[878],I Am Mother,6.6,"A teenage girl is raised underground by a robot ""Mother"", designed to repopulate the earth following an extinction event. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",2019-06-07
13.199,2005,False,/chrYVlwpBjlYM80w4bQDZzfNQZf.jpg,328425,False,/pOjPWFIBlHtyNsivnzg2X6bC8JB.jpg,en,The Gift,"[18, 9648, 53]",The Gift,6.7,"A husband and wife try to reinvigorate their relationship but their lives are threatened by a ""friend"" from the husband's past who holds a horrifying secret about him, sending their world into a tailspin.",2015-07-30
13.154,1887,False,/bSMSO9xupd4R4vwTPqigHn2quLN.jpg,514999,False,/qeFO3u2IqbAeIT1Xgo6POqYbCaQ.jpg,en,Murder Mystery,"[28, 35, 80, 9648]",Murder Mystery,6.3,"After attending a gathering on a billionaire's yacht during a European vacation, a New York cop and his wife become prime suspects when he's murdered.",2019-05-25
13.11,2013,False,/5kKor5pZ3ov08CAstSyk7FGDKVN.jpg,1885,False,/bPSnI2tPcxRXJ1oGMpIxIMvoSde.jpg,en,The Karate Kid,"[18, 28]",The Karate Kid,7.0,"Hassled by the school bullies, Daniel LaRusso has his share of adolescent woes. Luckily, his apartment building houses a resident martial arts master: Kesuke Miyagi, who agrees to train Daniel ... and ends up teaching him much more than self-defense. Armed with newfound confidence, skill and wisdom, Daniel ultimately faces off against his tormentors in this hugely popular classic underdog tale.",1984-06-22
13.017,2574,False,/fxvlzT7yyKiZneTDPwk85BSw1JF.jpg,310307,False,/qPZpmZKO2N73IeHMuyck116ZpiO.jpg,en,The Founder,"[18, 36]",The Founder,7.1,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",2016-09-13
13.011,2011,False,/uTVGku4LibMGyKgQvjBtv3OYfAX.jpg,400650,False,/cwiJQXezWz876K3jS57Sq56RYCZ.jpg,en,Mary Poppins Returns,"[35, 14, 10751]",Mary Poppins Returns,6.5,"In Depression-era London, a now-grown Jane and Michael Banks, along with Michael's three children, are visited by the enigmatic Mary Poppins following a personal loss. Through her unique magical skills, and with the aid of her friend Jack, she helps the family rediscover the joy and wonder missing in their lives.",2018-12-13
12.979,1352,False,/qN73wDiyplutRKOHiXaLYFgPhwK.jpg,13455,False,/cta0YLPKH1Xb9EHmZAWFmLVQHeS.jpg,en,Push,"[28, 878]",Push,6.0,"After his father, an assassin, is brutally murdered, Nick Gant vows revenge on Division, the covert government agency that dabbles in psychic warfare and experimental drugs. Hiding in Hong Kong's underworld, Nick assembles a band of rogue psychics dedicated to destroying Division. Together with Cassie, a teenage clairvoyant, Nick goes in search of a missing girl and a stolen suitcase that could be the key to accomplishing their mutual goal.",2009-02-04
12.96,2770,False,/kto49vDiSzooEdy4WQH2RtaC9oP.jpg,9377,False,/pNrMusE83e5Qg4uw1Idg3s7EsCK.jpg,en,Ferris Bueller's Day Off,[35],Ferris Bueller's Day Off,7.6,"A high school slacker pretends to be sick to skip school and have an exciting day off alongside his girlfriend and his best buddy through Chicago, while trying to outwit his obsessive school principal and his unconformited sister along the way.",1986-06-11
12.952,2055,False,/nhPKl3mDUPXpCrX5onoGmt6kC4U.jpg,278924,False,/6kMu4vECAyTpj2Z7n8viJ4RAaYh.jpg,en,Mechanic: Resurrection,"[28, 80, 53]",Mechanic: Resurrection,5.7,"Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.",2016-08-25
12.941,4232,False,/oFOG2yIRcluKfTtYbzz71Vj9bgz.jpg,207932,False,/ulzy4NDp7SzVkpUSDR67vawFCCT.jpg,en,Inferno,"[18, 9648, 53]",Inferno,5.9,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",2016-10-13
12.729,5493,False,/ngKxbvsn9Si5TYVJfi1EGAGwThU.jpg,314365,False,/t3Oea7KbSpOvuqddMnlFtZ4WHn.jpg,en,Spotlight,"[18, 36, 53]",Spotlight,7.8,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",2015-11-06
